fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-07-27,DL,DL_CODESHARE,DL,5799,CP,N615CZ,5799,14869,SLC,"Salt Lake City, UT",12280,IDA,"Idaho Falls, ID",1100,1056.0,-4.0,18.0,1114.0,1157.0,5.0,1204,1202.0,-2.0,0.0,,0.0,N,64.0,66.0,43.0,1.0,188.0,,,,,,,,,
2018-10-08,UA,UA_CODESHARE,UA,6129,YV,N88325,6129,12266,IAH,"Houston, TX",11540,ELP,"El Paso, TX",955,1016.0,21.0,22.0,1038.0,1109.0,2.0,1051,1111.0,20.0,0.0,,0.0,N,116.0,115.0,91.0,1.0,667.0,20.0,0.0,0.0,0.0,0.0,,,,
2018-10-31,WN,WN,WN,809,WN,N7841A,809,13232,MDW,"Chicago, IL",11433,DTW,"Detroit, MI",1640,1638.0,-2.0,11.0,1649.0,1825.0,6.0,1850,1831.0,-19.0,0.0,,0.0,N,70.0,53.0,36.0,1.0,228.0,,,,,,,,,
2019-10-15,AA,AA,AA,1830,AA,N556UW,1830,12889,LAS,"Las Vegas, NV",11057,CLT,"Charlotte, NC",750,750.0,0.0,20.0,810.0,1451.0,15.0,1508,1506.0,-2.0,0.0,,0.0,N,258.0,256.0,221.0,1.0,1916.0,,,,,,,,,
2018-06-19,AS,AS_CODESHARE,AS,3300,OO,N176SY,3300,14831,SJC,"San Jose, CA",10423,AUS,"Austin, TX",938,932.0,-6.0,14.0,946.0,1453.0,5.0,1514,1458.0,-16.0,0.0,,0.0,N,216.0,206.0,187.0,1.0,1476.0,,,,,,,,,
2018-04-09,AA,AA,AA,2673,AA,N9629H,2673,11298,DFW,"Dallas/Fort Worth, TX",10693,BNA,"Nashville, TN",1055,1054.0,-1.0,18.0,1112.0,1227.0,6.0,1249,1233.0,-16.0,0.0,,0.0,N,114.0,99.0,75.0,1.0,631.0,,,,,,,,,
2019-06-12,B6,B6,B6,1312,B6,N505JB,1312,14635,RSW,"Fort Myers, FL",11618,EWR,"Newark, NJ",1328,1349.0,21.0,29.0,1418.0,1644.0,10.0,1628,1654.0,26.0,0.0,,0.0,N,180.0,185.0,146.0,1.0,1068.0,6.0,0.0,5.0,0.0,15.0,,,,
2019-07-28,AA,AA_CODESHARE,AA,5162,OH,N248PS,5162,12953,LGA,"New York, NY",14122,PIT,"Pittsburgh, PA",1530,1526.0,-4.0,16.0,1542.0,1640.0,5.0,1708,1645.0,-23.0,0.0,,0.0,N,98.0,79.0,58.0,1.0,335.0,,,,,,,,,
2018-02-07,AA,AA,AA,259,AA,N156AN,259,11298,DFW,"Dallas/Fort Worth, TX",14771,SFO,"San Francisco, CA",1110,1108.0,-2.0,34.0,1142.0,1259.0,5.0,1312,1304.0,-8.0,0.0,,0.0,N,242.0,236.0,197.0,1.0,1464.0,,,,,,,,,
2018-11-07,UA,UA,UA,542,UA,N57439,542,12264,IAD,"Washington, DC",11292,DEN,"Denver, CO",1605,1600.0,-5.0,17.0,1617.0,1756.0,8.0,1804,1804.0,0.0,0.0,,0.0,N,239.0,244.0,219.0,1.0,1452.0,,,,,,,,,
